Numer of labeled samples:14244   AUC:0.987
Numer of labeled samples:14245   AUC:0.988
Numer of labeled samples:14251   AUC:0.988
Numer of labeled samples:14231   AUC:0.988
Numer of labeled samples:14247   AUC:0.987
Numer of labeled samples:14227   AUC:0.987
Numer of labeled samples:14260   AUC:0.988
Numer of labeled samples:14245   AUC:0.987
Numer of labeled samples:14260   AUC:0.987
Numer of labeled samples:14268   AUC:0.988
Numer of labeled samples:14259   AUC:0.987
Numer of labeled samples:14272   AUC:0.987
Numer of labeled samples:14266   AUC:0.987
Numer of labeled samples:14270   AUC:0.988
Numer of labeled samples:14268   AUC:0.987
Numer of labeled samples:14263   AUC:0.988
Numer of labeled samples:14274   AUC:0.987
Numer of labeled samples:14277   AUC:0.988
Numer of labeled samples:14286   AUC:0.987
Numer of labeled samples:14302   AUC:0.989
Numer of labeled samples:14274   AUC:0.987
Numer of labeled samples:14295   AUC:0.987
Numer of labeled samples:14287   AUC:0.987
Numer of labeled samples:14299   AUC:0.988
Numer of labeled samples:14297   AUC:0.986
Numer of labeled samples:14278   AUC:0.987
Numer of labeled samples:14313   AUC:0.986
Numer of labeled samples:14260   AUC:0.987
Numer of labeled samples:14317   AUC:0.987
Numer of labeled samples:14291   AUC:0.986
Numer of labeled samples:14298   AUC:0.987
Numer of labeled samples:14285   AUC:0.986
Numer of labeled samples:14320   AUC:0.987
Numer of labeled samples:14284   AUC:0.987
Numer of labeled samples:14298   AUC:0.986
Numer of labeled samples:14294   AUC:0.987
Numer of labeled samples:14291   AUC:0.986
Numer of labeled samples:14303   AUC:0.987
Numer of labeled samples:14319   AUC:0.986
Numer of labeled samples:14306   AUC:0.987
Numer of labeled samples:14327   AUC:0.987
Numer of labeled samples:14299   AUC:0.987
Numer of labeled samples:14322   AUC:0.987
Numer of labeled samples:14306   AUC:0.987
Numer of labeled samples:14317   AUC:0.985
Numer of labeled samples:14316   AUC:0.987
Numer of labeled samples:14321   AUC:0.986
Numer of labeled samples:14323   AUC:0.987
Numer of labeled samples:14326   AUC:0.986
Numer of labeled samples:14299   AUC:0.987
Numer of labeled samples:14324   AUC:0.985
Numer of labeled samples:14321   AUC:0.985
Numer of labeled samples:14322   AUC:0.985
Numer of labeled samples:14326   AUC:0.987
Numer of labeled samples:14319   AUC:0.985
Numer of labeled samples:14323   AUC:0.987
Numer of labeled samples:14332   AUC:0.986
Numer of labeled samples:14310   AUC:0.986
Numer of labeled samples:14316   AUC:0.985
Numer of labeled samples:14339   AUC:0.985
Numer of labeled samples:14303   AUC:0.985
Numer of labeled samples:14309   AUC:0.986
Numer of labeled samples:14315   AUC:0.985
Numer of labeled samples:14347   AUC:0.986
Numer of labeled samples:14335   AUC:0.986
Numer of labeled samples:14337   AUC:0.986
Numer of labeled samples:14342   AUC:0.987
Numer of labeled samples:14341   AUC:0.986
Numer of labeled samples:14340   AUC:0.986
Numer of labeled samples:14354   AUC:0.987
Numer of labeled samples:14345   AUC:0.986
Numer of labeled samples:14309   AUC:0.985
Numer of labeled samples:14342   AUC:0.984
Numer of labeled samples:14328   AUC:0.985
Numer of labeled samples:14337   AUC:0.984
Numer of labeled samples:14352   AUC:0.986
Numer of labeled samples:14340   AUC:0.985
Numer of labeled samples:14322   AUC:0.984
Numer of labeled samples:14334   AUC:0.985
Numer of labeled samples:14337   AUC:0.985
Numer of labeled samples:14350   AUC:0.986
Numer of labeled samples:14336   AUC:0.986
Numer of labeled samples:14348   AUC:0.985
Numer of labeled samples:14348   AUC:0.986
Numer of labeled samples:14342   AUC:0.985
Numer of labeled samples:14346   AUC:0.985
Numer of labeled samples:14334   AUC:0.985
Numer of labeled samples:14356   AUC:0.985
Numer of labeled samples:14352   AUC:0.985
Numer of labeled samples:14361   AUC:0.985
Numer of labeled samples:14342   AUC:0.984
Numer of labeled samples:14361   AUC:0.985
Numer of labeled samples:14351   AUC:0.984
Numer of labeled samples:14364   AUC:0.983
Numer of labeled samples:14345   AUC:0.984
Numer of labeled samples:14359   AUC:0.985
Numer of labeled samples:14352   AUC:0.986
Numer of labeled samples:14360   AUC:0.986
Numer of labeled samples:14339   AUC:0.984
Numer of labeled samples:14349   AUC:0.984
Numer of labeled samples:14352   AUC:0.984
Numer of labeled samples:14349   AUC:0.986
Numer of labeled samples:14355   AUC:0.984
Numer of labeled samples:14363   AUC:0.986
Numer of labeled samples:14359   AUC:0.983
Numer of labeled samples:14364   AUC:0.983
Numer of labeled samples:14373   AUC:0.985
Numer of labeled samples:14361   AUC:0.983
Numer of labeled samples:14360   AUC:0.984
Numer of labeled samples:14366   AUC:0.983
Numer of labeled samples:14367   AUC:0.983
Numer of labeled samples:14374   AUC:0.983
Numer of labeled samples:14369   AUC:0.985
Numer of labeled samples:14371   AUC:0.985
Numer of labeled samples:14370   AUC:0.984
Numer of labeled samples:14371   AUC:0.984
Numer of labeled samples:14369   AUC:0.984
Numer of labeled samples:14369   AUC:0.984
Numer of labeled samples:14365   AUC:0.983
Numer of labeled samples:14383   AUC:0.984
Numer of labeled samples:14368   AUC:0.984
Numer of labeled samples:14366   AUC:0.985
Numer of labeled samples:14365   AUC:0.983
Numer of labeled samples:14374   AUC:0.982
Numer of labeled samples:14380   AUC:0.982
Numer of labeled samples:14382   AUC:0.985
Numer of labeled samples:14374   AUC:0.984
Numer of labeled samples:14370   AUC:0.983
Numer of labeled samples:14370   AUC:0.981
Numer of labeled samples:14381   AUC:0.984
Numer of labeled samples:14367   AUC:0.982
Numer of labeled samples:14385   AUC:0.983
Numer of labeled samples:14381   AUC:0.984
Numer of labeled samples:14373   AUC:0.982
Numer of labeled samples:14373   AUC:0.983
Numer of labeled samples:14383   AUC:0.984
Numer of labeled samples:14373   AUC:0.983
Numer of labeled samples:14389   AUC:0.984
Numer of labeled samples:14366   AUC:0.982
Numer of labeled samples:14387   AUC:0.983
Numer of labeled samples:14374   AUC:0.984
Numer of labeled samples:14400   AUC:0.983
Numer of labeled samples:14380   AUC:0.983
Numer of labeled samples:14389   AUC:0.984
Numer of labeled samples:14386   AUC:0.983
Numer of labeled samples:14379   AUC:0.982
Numer of labeled samples:14382   AUC:0.983
Numer of labeled samples:14381   AUC:0.985
Numer of labeled samples:14389   AUC:0.983
Numer of labeled samples:14380   AUC:0.984
Numer of labeled samples:14382   AUC:0.982
Numer of labeled samples:14389   AUC:0.982
Numer of labeled samples:14388   AUC:0.982
Numer of labeled samples:14391   AUC:0.984
Numer of labeled samples:14389   AUC:0.983
Numer of labeled samples:14392   AUC:0.984
Numer of labeled samples:14389   AUC:0.983
Numer of labeled samples:14387   AUC:0.983
Numer of labeled samples:14383   AUC:0.983
Numer of labeled samples:14396   AUC:0.982
Numer of labeled samples:14391   AUC:0.983
Numer of labeled samples:14387   AUC:0.983
Numer of labeled samples:14396   AUC:0.980
Numer of labeled samples:14388   AUC:0.982
Numer of labeled samples:14393   AUC:0.982
Numer of labeled samples:14396   AUC:0.983
Numer of labeled samples:14387   AUC:0.984
Numer of labeled samples:14399   AUC:0.984
Numer of labeled samples:14390   AUC:0.982
Numer of labeled samples:14382   AUC:0.983
Numer of labeled samples:14388   AUC:0.981
Numer of labeled samples:14395   AUC:0.982
